lifecycle_id,buyer,category,incumbent,supplier_company_id,contract_start,original_end,maximum_option_end,extensions,replacement_incumbent,replacement_confirmed_date,lead_time_days,classification,evidence_count,record_ids
"המרכז הרפואי פדה, פוריה::cleaning::510715527::2009-08-27","המרכז הרפואי פדה, פוריה",cleaning,יגב-חברה לציוד רפואי ואנליטי בעמ,510715527,2009-08-27,,,0,"רניום ציוד למעבדות מחקר בע""מ",2009-08-28,1.0,D,1,506386
"רוה""מ::cleaning::500230008::2014-05-27","רוה""מ",cleaning,עירית ירושלים - עיקולים,500230008,2014-05-15,2014-05-27,2023-12-31,0,אלקטרה אפ אם- אחזקת מבנים ומערכות ב,2024-02-19,50.0,A,2,554443;4000523892
"המרכז הרפואי פדה, פוריה::cleaning::510658404::2009-08-26","המרכז הרפואי פדה, פוריה",cleaning,"דובר - מיכשור רפואי ומדעי בע""מ",510658404,2009-08-26,,,0,יגב-חברה לציוד רפואי ואנליטי בעמ,2009-08-27,1.0,D,1,506360
משרד המשפטים::cleaning::511581324::2010-01-31,משרד המשפטים,cleaning,"תנה תעשיות חברה בע""מ",511581324,2010-01-01,2010-12-31,2011-12-31,0,"א.א.א. אבירם בע""מ",2011-07-26,-158.0,A,3,510401;516908;518202
שירות בתי הסוהר::cleaning::511612970::2009-11-08,שירות בתי הסוהר,cleaning,"ויזל שיווק מוצרי ביטחון בע""מ",511612970,2009-11-08,,,0,"נקסטקום בע""מ",2010-03-02,9.0,C,3,507762;509513;510922
משרד החוץ::cleaning::ALL SERVICE::2016-11-23,משרד החוץ,cleaning,ALL SERVICE,,2017-01-01,2017-12-31,2017-12-31,0,GOM,2017-12-25,-6.0,A,1,589204
משרד החקלאות ובטחון המזון::cleaning::512762105::2010-12-02,משרד החקלאות ובטחון המזון,cleaning,"נאוטק מיכשור מדעי בע""מ",512762105,2011-01-01,2011-12-31,2011-12-31,0,"חברה לפיתוח ולבנין בערבה בע""מ",2011-12-06,-25.0,A,2,517769;518410
"המרכז הרפואי פדה, פוריה::cleaning::510859416::2010-06-14","המרכז הרפואי פדה, פוריה",cleaning,שרותי גולן שרות למכונות להדחת כלים,510859416,2010-06-14,,,0,צפריר שרותים מתקדמים,2010-06-20,6.0,D,1,513352
משרד הרווחה::cleaning::512165093::2019-03-12,משרד הרווחה,cleaning,"ש.נ.י. גרינברג (1995) בע""מ",512165093,2019-03-07,2019-10-30,2021-03-31,4,,,,B,4,631470;638529;640593;648000
משרד להגנת הסביבה::cleaning::520017070::2009-07-29,משרד להגנת הסביבה,cleaning,"כלכלית ירושלים בע""מ",520017070,2009-04-01,2010-03-31,2010-08-31,0,נתיבי ישראל - החברה הלאומית לתשתיות,2010-03-04,-180.0,A,2,505775;506579
"המרכז הרפואי שיבא תה""ש::cleaning::557410149::2011-02-23","המרכז הרפואי שיבא תה""ש",cleaning,טבע תעשיות פרמצבטיות,557410149,2011-02-23,,,0,"טלרון מצברים בע""מ",2011-02-24,1.0,D,1,520545
משרד הפנים::cleaning::511453599::2010-01-18,משרד הפנים,cleaning,"עופר כיבוי חילוץ והצלה בע""מ",511453599,2010-01-01,2010-12-31,2010-12-31,0,"מלם מערכות הנדסיות בע""מ",2010-08-01,-152.0,A,3,510092;512112;512558
משרד הפנים::cleaning::511276883::2010-11-14,משרד הפנים,cleaning,"טי ג'י אם (ג. מ. אריזות) בע""מ",511276883,2010-11-10,2011-12-31,2011-12-31,0,"טי אנד אם שירותי ניקיון בע""מ",2013-01-17,383.0,A,1,516868
"המרכז הרפואי פדה, פוריה::cleaning::557564465::2009-08-28","המרכז הרפואי פדה, פוריה",cleaning,לוכסמבורג תרופות,557564465,2009-08-28,,,0,"שני - טק בע""מ",2009-09-02,5.0,C,2,506399;506401
משרד הרווחה::cleaning::511057564::2012-10-29,משרד הרווחה,cleaning,"מכבסת שלג חדרה (1985) בע""מ",511057564,2012-11-13,2013-03-31,2013-03-31,1,"אגודת השומרים בע""מ",2013-02-20,-39.0,A,1,536045
משטרת ישראל::cleaning::511009342::2011-01-20,משטרת ישראל,cleaning,"היולט-פקרד (ישראל) בע""מ",511009342,2011-01-20,,,0,"אי. אס. אי. מערכות מומחה תעשיות בע""",2011-02-02,13.0,D,1,519647
המרכז הרפואי וולפסון::cleaning::511425530::2010-03-24,המרכז הרפואי וולפסון,cleaning,"אוטומציה ירוחם ושות' בע""מ",511425530,2010-03-24,,,0,"תדיראן אנרג'י בע""מ",2010-03-28,4.0,D,1,511746
משרד הבריאות::cleaning::512723412::2023-02-20,משרד הבריאות,cleaning,ש.י.ר.ן. ובניו שירותי ניקיון ושמירה,512723412,2023-02-19,2023-08-13,2023-12-13,3,"א.מ שירותים מוניציפליים בע""מ",2024-02-04,53.0,A,3,4000566011;4000573818;4000577843
משרד הרווחה::cleaning::557605748::2009-09-10,משרד הרווחה,cleaning,נס,557605748,2009-09-10,,,0,לוג און,2010-10-10,3.0,C,10,506666;506671;506763;506764;507335;508900;515766;515769;515770;515772
